annotation,count
MULTISPECIES: transcriptional regulator CcpN,14
"ribosome maturation factor RimP, partial",14
"3-oxoacyl-ACP reductase, partial",14
"terminase gpP N-terminus-related DNA-binding protein, partial",14
MULTISPECIES: DUF4030 domain-containing protein,14
transmembrane 9 family protein,14
formate acetyltransferase,14
"pesticin C-terminus-like muramidase, partial",14
MULTISPECIES: ketosynthase,14
phosphate uptake regulator PhoU,14
MULTISPECIES: two component system sensor kinase,14
MULTISPECIES: 2-oxoacid:ferredoxin oxidoreductase subunit alpha,14
MULTISPECIES: MerR family transcriptional regulator TnrA,14
"allantoinase AllB, partial",14
"KAP family P-loop NTPase fold protein, partial",14
MULTISPECIES: phenylalanyl-tRNA synthetase subunit alpha,14
"acid phosphatase, partial",14
hydrogen peroxide resistance inhibitor IprA,14
MULTISPECIES: sensor protein FixL,14
"ECF-type sigma factor, partial",14
MULTISPECIES: mannose-binding lectin,14
MULTISPECIES: ubiquinol-cytochrome c reductase cytochrome b subunit,14
"allantoate amidohydrolase, partial",14
"ABC transporter, partial",14
insertion sequence element IS911 transposase InsN,14
cystathionine gamma-synthase/O-acetylhomoserine thiolyase,14
transcriptional regulator SspA,14
insertion sequence element IS911 integrase core domain-containing protein,14
MULTISPECIES: DUF6647 family protein,14
RC1041 family protein,14
MULTISPECIES: NADP(+)-dependent aldehyde reductase,14
"MULTISPECIES: formate--tetrahydrofolate ligase, partial",14
GspI family T2SS minor pseudopilin variant ExeI,14
"ATP-dependent 6-phosphofructokinase, partial",14
MULTISPECIES: gala protein,14
MULTISPECIES: ATPase BagB,14
MULTISPECIES: IS30-like element IS6770 family transposase,14
MULTISPECIES: DVU3141 family protein,14
"conjugal transfer protein TraG, partial",14
hydrogenase 1 maturation protease,14
MULTISPECIES: two-component system response regulator FeuP,14
"MULTISPECIES: 1,4-beta-xylanase",14
"TIGR03749 family integrating conjugative element protein, partial",14
sensor histidine kinase ResE,14
antitoxin MazE5,14
"MbeB family mobilization protein, partial",14
"MULTISPECIES: phage/plasmid replication protein, II/X family",14
MULTISPECIES: DUF2705 family protein,14
gapA transcriptional regulator CggR,14
"glycosyl transferase, partial",14
"DUF5078 domain-containing protein, partial",14
antibiotic ABC transporter permease,14
MULTISPECIES: exopolysaccharide biosynthesis transcriptional regulator MucR,14
MULTISPECIES: cyclopropane-fatty-acyl-phospholipid synthase,14
MULTISPECIES: SAS049 family protein,14
MULTISPECIES: 4'-phosphopantetheinyl transferase Sfp,14
TIGR01741 family protein,14
chaperone protein DnaJ,14
MULTISPECIES: DUF3983 domain-containing protein,14
VopS family T3SS effector adenosine monophosphate-protein transferase,14
MULTISPECIES: Apre_1838 family putative sactipeptide bacteriocin,14
MULTISPECIES: DUF5079 family protein,14
MULTISPECIES: DpnII family type II restriction endonuclease,14
prepilin,14
MULTISPECIES: sedoheptulokinase,14
mitochondrial porin family protein,14
Na+/H+ antiporter Mnh2 subunit F,14
MULTISPECIES: choice-of-anchor E domain-containing protein,14
phage head protein,14
MULTISPECIES: SPFH and helix-turn-helix domain-containing protein,14
MULTISPECIES: AcaB family transcriptional regulator,14
XopAH/AvrB family type III secretion system effector,14
MULTISPECIES: cyclic Di-GMP phosphodiesterase RmdA,14
MULTISPECIES: WD40 repeat domain-containing serine/threonine-protein kinase,14
"IS1096 element passenger TnpR family protein, partial",14
"DnaD domain protein, partial",14
"aspartate ammonia-lyase, partial",14
DUF2737 family protein,14
tetracycline destructase,14
MULTISPECIES: DUF4077 domain-containing protein,14
DUF2606 family protein,14
MULTISPECIES: DUF3627 domain-containing protein,14
"glycoside hydrolase family 36 protein, partial",14
ethanolamine ammonia-lyase subunit alpha,14
MULTISPECIES: cytosol aminopeptidase,14
"LPD1 domain-containing protein, partial",14
"amino-acid N-acetyltransferase, partial",14
"haloacid dehalogenase-like hydrolase, partial",14
"DUF938 domain-containing protein, partial",14
MULTISPECIES: stage V sporulation protein SpoVAA,14
MULTISPECIES: DUF3937 family protein,14
MULTISPECIES: IS21-like element ISPst3 family transposase,14
type IV pilin,14
MULTISPECIES: CRISPR-associated protein Csx16,14
MULTISPECIES: Fe3+ hydroxamate ABC transporter substrate-binding protein,14
flagellar filament core protein flaB2 domain protein,14
MULTISPECIES: branched-chain amino acid transport system II carrier protein BrnQ1,14
MULTISPECIES: transcription antiterminator,14
"amino acid synthesis family protein, partial",14
MULTISPECIES: penicillin-binding protein PBP1a,14
"alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ, partial",14
"competence/damage-inducible protein A, partial",14
MULTISPECIES: DNA damage checkpoint antagonist DdcA,14
MULTISPECIES: PilM family type IVa pilus assembly protein TapM,14
MULTISPECIES: DUF6516 family protein,14
polycystic kidney disease 1-like 3,14
prefoldin subunit,14
threonyl-tRNA synthetase,14
DUF3138 domain-containing protein,14
MULTISPECIES: disulfide bond formation protein Dba,14
DUF1672 domain-containing protein,14
phage host specificity protein,13
MULTISPECIES: lambda phage CII family protein,13
EamA/DMT transporter family protein,13
"MULTISPECIES: oligo-1,6-glucosidase",13
TraD N-terminal domain-containing protein,13
DUF240 domain-containing protein,13
MULTISPECIES: TIGR04500 family putative peptide maturation system protein,13
MULTISPECIES: DUF6331 family protein,13
silent information regulator protein Sir2,13
"G1 family glutamic endopeptidase, partial",13
Imm2 family immunity protein,13
MULTISPECIES: fructoselysine 3-epimerase,13
"SPL family radical SAM protein, partial",13
DUF4088 domain-containing protein,13
MULTISPECIES: alpha-glucosidase AglA,13
MULTISPECIES: inositol monophosphatase,13
phycocyanin,13
MULTISPECIES: fibrinogen-binding protein,13
MULTISPECIES: collagen-binding domain-containing protein,13
IS21-like element ISVch3 family helper ATPase IstB,13
"DUF7619 domain-containing protein, partial",13
MarR-family transcriptional regulator,13
"cache domain-containing sensor histidine kinase, partial",13
MULTISPECIES: DUF3956 family protein,13
FibroRumin family radical SAM-modified Cys-rich RiPP,13
jacalin family lectin,13
"IF-2-associated domain-containing protein, partial",13
"EcsC family protein, partial",13
"DUF6481 family protein, partial",13
MULTISPECIES: SufBD protein,13
endonuclease EndA,13
MULTISPECIES: periplasmic protein,13
MULTISPECIES: Sip1-related alpha-galactosidase,13
"cobalt-precorrin-5B (C(1))-methyltransferase, partial",13
"DUF6094 domain-containing protein, partial",13
"30S ribosomal protein S18, partial",13
"phosphotriesterase family protein, partial",13
MULTISPECIES: YscO family type III secretion system apparatus protein,13
"DarT ssDNA thymidine ADP-ribosyltransferase family protein, partial",13
MULTISPECIES: 3-dehydro-L-gulonate-6-phosphate decarboxylase,13
MULTISPECIES: DNA-binding transcriptional regulator GalR,13
"NADH-quinone oxidoreductase subunit J family protein, partial",13
membrane-associated sensor domain-containing protein,13
murein hydrolase transporter LrgB,13
MULTISPECIES: pyruvate synthase subunit PorA,13
aminomethyl-transferring glycine dehydrogenase subunit 1,13
MULTISPECIES: DUF4928 family protein,13
MULTISPECIES: colicin release lysis protein,13
"polyhydroxyalkanoate depolymerase, partial",13
MULTISPECIES: MSHA fimbrial ATPase MshE,13
"mannosyltransferase family protein, partial",13
MULTISPECIES: host specificity protein,13
"MULTISPECIES: 3,4-dehydroadipyl-CoA semialdehyde dehydrogenase",13
"pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, partial",13
"DUF4386 domain-containing protein, partial",13
3-amino-4-hydroxybenzoic acid synthase,13
DUF1707 and DUF2154 domain-containing protein,13
glycosyltransferase family 58 protein,13
DUF7021 domain-containing protein,13
phosphate transporter,13
DUF3932 family protein,13
MULTISPECIES: acyl-CoA thioesterase/BAAT N-terminal domain-containing protein,13
DUF859 domain-containing protein,13
"FIMAH domain-containing protein, partial",13
conjugal transfer protein TraE,13
phage/plasmid replication protein,13
MULTISPECIES: DUF2397 family protein,13
"Type II secretory pathway, pullulanase PulA",13
"DUF3560 domain-containing protein, partial",13
cobalamin biosynthesis protein CbiA,13
TspO protein,13
"glutamine synthetase III, partial",13
MULTISPECIES: DUF4755 domain-containing protein,13
RecA family protein,13
branched-chain amino acid transport system II carrier protein BrnQ6,13
MULTISPECIES: bifunctional DnaQ family exonuclease/ATP-dependent helicase,13
"M2 family metallopeptidase, partial",13
"fructose-bisphosphatase class III, partial",13
MULTISPECIES: guanosine monophosphate reductase,13
pterin-binding domain-containing protein,13
"Lnb N-terminal periplasmic domain-containing protein, partial",13
MULTISPECIES: fosmidomycin MFS transporter,13
"DUF1648 domain-containing protein, partial",13
MULTISPECIES: DUF1510 family protein,13
MULTISPECIES: argininosuccinate synthase-related protein,13
MULTISPECIES: trifunctional class I SAM-dependent methyltransferase/NUDIX hydrolase/VOC family protein,13
lipopolysaccharide N-acetylglucosaminyl transferase,13
MULTISPECIES: FadD32-like long-chain-fatty-acid--AMP ligase,13
"SprT-like domain-containing protein, partial",13
"phage baseplate protein, partial",13
insecticidal toxin complex protein TcaC,13
MULTISPECIES: IS91-like element ISCR3 family transposase,13
LRV domain-containing protein,13
transcript cleavage factor,13
gas vesicle protein GvpD,13
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,13
"aminoacetone oxidase family FAD-binding enzyme, partial",13
MULTISPECIES: FlaG family protein,13
MULTISPECIES: Outer membrane protein SusF domain-containing protein,13
"spore photoproduct lyase family protein, partial",13
oligoendopeptidase F family protein,13
MULTISPECIES: indolepyruvate/phenylpyruvate decarboxylase,13
MULTISPECIES: TOPRIM and DUF927 domain-containing protein,13
DUF2090 domain-containing protein,13
MULTISPECIES: DUF2443 family protein,13
"DUF1905 domain-containing protein, partial",13
MULTISPECIES: histidine kinase dimerization/phosphoacceptor domain-containing protein,13
"DUF2274 domain-containing protein, partial",13
MULTISPECIES: cytochrome bd-II oxidase subunit 1,13
"MULTISPECIES: electron transfer flavoprotein subunit beta/FixA family protein, partial",13
MULTISPECIES: hydrogenase 1 maturation protease,13
stilbene biosynthesis aromatase StlC,13
"MULTISPECIES: IS4 family transposase, partial",13
pyruvate/proton symporter BtsT,13
MULTISPECIES: pyridoxal phosphate-dependent class III aminotransferase,13
"HesB/IscA family protein, partial",13
MULTISPECIES: flagellar assembly protein FliT,13
peptidoglycan hydrolase,13
MULTISPECIES: putative pilus system protein FilC,13
MULTISPECIES: dialkylrecorsinol condensing enzyme DarA,13
MULTISPECIES: type III secretion apparatus protein OrgA/MxiK,13
"MULTISPECIES: toxin-antitoxin system, antitoxin component",13
"DUF4135 domain-containing protein, partial",13
"T9SS outer membrane translocon Sov/SprA, partial",13
regulatory phage cox family protein,13
flagellar sheath protein A,13
"lectin-like protein, partial",13
"LytTR family transcriptional regulator DNA-binding domain-containing protein, partial",13
glycosaminoglycan attachment protein,13
"MULTISPECIES: class I SAM-dependent methyltransferase, partial",13
MULTISPECIES: lysophosphatidylcholine acyltransferase,13
"MULTISPECIES: cytochrome P450, cyclodipeptide synthase-associated",13
multimodular transpeptidase-transglycosylase PbpC,13
"DUF4162 domain-containing protein, partial",13
MULTISPECIES: spore germination protein GerLB,13
DUF7586 domain-containing protein,13
conjugal transfer protein TrbA,13
ACT family cephalosporin-hydrolyzing class C beta-lactamase,13
hemophilus-specific protein,13
"5-dehydro-2-deoxygluconokinase, partial",13
MULTISPECIES: phenazine-specific anthranilate synthase component I,13
MULTISPECIES: addiction module toxin RelE,13
MULTISPECIES: acyl-CoA dehydrogenase middle domain-containing protein,13
MULTISPECIES: topoisomerase,13
"MULTISPECIES: ankyrin repeat domain-containing protein, partial",13
LdpA C-terminal domain-containing domain,13
MULTISPECIES: (-)-alpha-amorphene synthase,13
peptidase S24,13
MULTISPECIES: phosphoglycerol geranylgeranyltransferase,13
MULTISPECIES: DUF3921 family protein,13
transport-associated protein,13
"NAD(P)H:quinone oxidoreductase, partial",13
XopA/Hpa1 family type III secretion system protein,13
carboxysome assembly protein CsoS2,13
"zinc-dependent metalloprotease family protein, partial",13
MULTISPECIES: response regulator receiver protein,13
MULTISPECIES: MucR family transcriptional regulator Ros,13
CT847 family type III secretion system effector,13
MULTISPECIES: DUF4199 family protein,13
"M3 family oligoendopeptidase, partial",13
"GH116 family glycosyl hydrolase, partial",13
"alpha-L-rhamnosidase N-terminal domain-containing protein, partial",13
halovibrin HvnC,13
MULTISPECIES: AOC03_06830 family ribosome hibernation factor,13
MULTISPECIES: DUF1461 domain-containing protein,13
type II toxin-antitoxin system SpoIISB family antitoxin,13
"MULTISPECIES: endo-1,3-alpha-glucanase family glycosylhydrolase",13
"alpha-L-rhamnosidase-related protein, partial",13
small heat shock protein HspD,13
proteinase inhibitor,13
MULTISPECIES: non-hemolytic enterotoxin NHE subunit A,13
"COG1361 family protein, partial",13
MULTISPECIES: two pore domain potassium channel family protein,13
MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrS1,13
CD-NTase-associated endodeoxyribonuclease Cap4,13
MULTISPECIES: type III secretion system chaperone SctY,13
"5'-nucleotidase, partial",13
MULTISPECIES: phage protein GemA/Gp16 family protein,13
"TIGR03915 family putative DNA repair protein, partial",13
"citrate lyase subunit alpha, partial",13
MULTISPECIES: coiled coil domain-containing protein,13
MULTISPECIES: T3SS regulon translocated regulator ExsE family protein,13
MULTISPECIES: myo-inositol degradation transcriptional regulator,13
MULTISPECIES: DUF5631 domain-containing protein,13
"type IV pilus modification PilV family protein, partial",13
MULTISPECIES: exosortase/archaeosortase family protein,13
MULTISPECIES: glycoside hydrolase family 99 protein,13
MULTISPECIES: SIALI-17 repeat-containing surface protein,13
"cysteine desulfurase/sulfurtransferase TusA family protein, partial",13
"DUF1731 domain-containing protein, partial",13
MULTISPECIES: VIT and vWA domain-containing protein,13
MULTISPECIES: DUF4933 domain-containing protein,13
MULTISPECIES: linaridin family RiPP,13
MULTISPECIES: BcII family subclass B1 metallo-beta-lactamase,13
pilus assembly protein PilL,13
ACS family MFS transporter,13
"DddA-like double-stranded DNA deaminase toxin, partial",13
"DUF2586 family protein, partial",13
MULTISPECIES: C-phycoerythrin subunit beta,13
sulfurtransferase TusB,13
flagellar biosynthesis protein FlhG,13
MULTISPECIES: long-chain-fatty-acid--CoA ligase FadD17,13
synapsin-1 (Synapsin I),13
ATP translocase,13
MULTISPECIES: serine/threonine-protein kinase PknH/PknJ,13
